,name,image,username,handle_gitcoin,statement_post_id,steward_since,address,w_value,Tally_participation_rate,f_value,forum_post_count,workstream_name,votingweight,voteparticipation,weeks_steward,F_value,snapshot_votes,V_value,Health_Score
0,Trenton Van Epps,tvanepps.png,trent,tvanepps,12,2021-05-25,0x4c0a466df0628fe8699051b3ac6506653191cc21,2,40.0,0.333333333333333,11,-,1.35,26.6666666666667,35,0.55,0.003658536585366,0.304024390243902,5
1,Austin Griffith,austintgriffith.png,austingriffith,austintgriffith,31,2021-05-25,0x34aa3f359a9d614239015126635ce7732c18fdf3,3,22.22,0.181818181818182,9,Moonshot Collective,1.64,20,35,0.45,0.00390243902439,0.177369606003752,8
2,Linda Xie,linda-xie.png,linda,linda-xie,6,2021-05-25,0x5e349eca2dc61aBCd9dD99Ce94d04136151a09Ee,2,50.0,0.606060606060606,21,Public Goods Funding,1.46,53.3333333333333,35,1.05,0.005853658536585,0.006439024390244,5
3,Lefteris Karapetsas,lefterisjp.png,lefterisjp,lefterisjp,4,2021-05-25,0x2b888954421b424c5d3d9ce9bb67c9bd47537d12,2,72.73,1.5,63,-,0.23,13.3333333333333,35,1.5,0.008780487804878,0.555113082039911,7
4,Griff Green,griffgreen.png,griff,griffgreen,28,2021-05-25,0x839395e20bbb182fa440d08f850e6c7a8f6f0780,2,66.67,0.272727272727273,10,-,0,6.66666666666667,35,0.5,0.013658536585366,0.550738675958188,5
5,Simona Pop,simona-pop.png,Pop,simona-pop,5,2021-05-25,0x54becc7560a7be76d72ed76a1f5fee6c5a2a7ab6,3,90.91,0.606060606060606,24,Public Goods Funding,0.17,6.66666666666667,35,1.2,0.009024390243902,0.644542213883677,10
6,Yalor Arnold,yalormewn.png,Yalor,yalormewn,2,2021-05-25,0x66b1de0f14a0ce971f7f248415063d44caf19398,2,66.67,1.5,53,Public Goods Funding,0.54,13.3333333333333,35,1.5,0.005853658536585,0.506439024390244,7
7,Hudson Jameson,souptacular.png,souptacular,souptacular,46,2021-05-25,0x80d63799b1e08a80f73fb7a83264b5c31600bf3a,2,66.67,0.060606060606061,2,-,0.61,40,35,0.1,0.003170731707317,0.503487804878049,5
8,Kenneth Ng,nkennethk.png,ken,nkennethk,14,2021-05-25,0xa2bf1b0a7e079767b4701b5a1d9d5700eb42d1d1,2,50.0,0.03030303030303,1,Public Goods Funding,0.34,6.66666666666667,35,0.05,0.00390243902439,0.379292682926829,5
9,Andy Tudhope,andytudhope.png,cryptowanderer,andytudhope,18,2021-05-25,0x31482858561725b74b5ec2a739e447bc74cdf7b9,2,14.29,0.212121212121212,8,-,0.32,6.66666666666667,35,0.4,0.000975609756098,0.108216027874564,5
