name,image,handle_gitcoin,statement_post_id,steward_since,workstream,address
Trenton Van Epps,tvanepps.png,tvanepps,12,05-25,,0x4c0a466df0628fe8699051b3ac6506653191cc21
Austin Griffith,austintgriffith.png,austintgriffith,31,05-25,MC,0x34aa3f359a9d614239015126635ce7732c18fdf3
Linda Xie,linda-xie.png,linda-xie,6,05-25,PGF,0x5e349eca2dc61aBCd9dD99Ce94d04136151a09Ee
Lefteris Karapetsas,lefterisjp.png,lefterisjp,4,05-25,,0x2b888954421b424c5d3d9ce9bb67c9bd47537d12
Griff Green,griffgreen.png,griffgreen,28,05-25,,0x839395e20bbb182fa440d08f850e6c7a8f6f0780
Simona Pop,simona-pop.png,simona-pop,5,05-25,PGF,0x54becc7560a7be76d72ed76a1f5fee6c5a2a7ab6
Yalor Arnold,yalormewn.png,yalormewn,2,05-25,PGF,0x66b1de0f14a0ce971f7f248415063d44caf19398
Hudson Jameson,souptacular.png,souptacular,46,05-25,,0x80d63799b1e08a80f73fb7a83264b5c31600bf3a
Kenneth Ng,nkennethk.png,nkennethk,14,05-25,PGF,0xa2bf1b0a7e079767b4701b5a1d9d5700eb42d1d1
Andy Tudhope,andytudhope.png,andytudhope,18,05-25,,0x31482858561725b74b5ec2a739e447bc74cdf7b9
Shreyas Hariharan,hello-shreyas.png,hello-shreyas,21,05-25,PGF,0x10d6d2e343281d388291a3e02f3293aaeda67178
Matt Stephenson,mrbrucespringsteen.png,mrbrucespringsteen,10,05-25,,0x5ba02f4ff6af1d9d2af8774d10fd32eb57d4e2e6
Pet3r,pet3r-pan.png,pet3r-pan,11,05-25,,0x68898b237823448475bd50ea0bb6e4a20b71ff63
Anish Agnihotri,anish-agnihotri.png,anish-agnihotri,23,05-25,,0x016C8780e5ccB32E5CAA342a926794cE64d9C364
Muskan Kalra,muskaankalra24.png,muskaankalra24,8,05-25,,0x4bc519f0b7b348fae780afb2dd4aa76841ba8e9e
Andrew Lloyd,androolloyd.png,androolloyd,26,05-25,,0x86d3ee9ff0983bc33b93cc8983371a500f873446
Thomas Jay Rush,tjayrush.png,tjayrush,16,05-25,,0xf503017d7baf7fbc0fff7492b751025c6a78179b
Philip Silva,ubipromoter.png,ubipromoter,15,05-25,,0xd9ffaf2e880df0cc7b7104e9e789d281a81824cf
Anne Connelly,anneconnelly.png,anneconnelly,13,05-25,,0xa30ab83e693ad49f3f651085dad11d049c818923
Auryn Macmillan,auryn-macmillan.png,auryn-macmillan,22,05-25,,0x8b405dbf2f30844b608b08dad20447a6955a6c6e
Charles St.Louis,cpstl.png,cpstl,33,05-25,,0x88cca876eebb2a541ed87584f189319c3441aca6
Nathan Schneider,ntnsndr.png,ntnsndr,42,05-25,,0x6375885ce997543cc7e057fe9af3e255d52fb4f4
Suji Yan,tedko.png,tedko,55,05-25,,0x934b510d4c9103e6a87aef13b816fb080286d649
Monet Supply,monet-supply.png,monet-supply,44,05-25,,0x8d07d225a769b7af3a923481e1fdf49180e6a265
Amy Jung,amy-jung.png,amy-jung,32,05-25,,0x73186b2a81952c2340c4eb2e74e89869e1183df0
Daniel Hwang,mangorocoro.png,mangorocoro,36,05-25,,0xc3fab4228ce462653dbf0bb3e4f3fdd81697fec4
Philip Hutchins,phutchins.png,phutchins,41,05-25,DG,0x6bf1eba9740441d0a8822eda4e116a74f850d81b
Alex Van de Sande,alexvansande.png,alexvansande,140,06-07,,0x809FA673fe2ab515FaA168259cB14E2BeDeBF68e
Toby Shorin,tobyshorin.png,tobyshorin,39,05-25,PGF,0xc7e6bbf6dbe78b40640385e73dc1958f4428fb3e
Cooper Turley,fireeyesxyz.png,fireeyesxyz,9,05-25,,0xd23aff9ad562c445bcab03321cbfe63bf4b0bcf2
Makoto Inoue,makoto.png,makoto,17,05-25,,0x5a384227b65fa093dec03ec34e111db80a040615
Zak Cole,zakcole.png,zakcole,38,05-25,,0x554c5aF96E9e3c05AEC01ce18221d0DD25975aB4
Andre Cronje,andrecronje.png,andrecronje,131,06-01,,0x2d407ddb06311396fe14d4b49da5f0471447d45c
Joseph Schiarizzi ,jschiarizzi.png,jschiarizzi,50,05-25,,0xe4b420f15d6d878dcd0df7120ac0fc1509ee9cab
Niran Babalola,niran.png,niran,30,05-25,,0x02Eb89D2ff910989024e19673f8302a695bBD979
Lakshman Sankar,sankar4033.png,sankar4033,81,05-26,,0xed625c9ABa1245Fa8e22eb1f1825881517A9DCE7
Anett Rolikova,anettrolikova.png,anettrolikova,3,05-25,,0x16d2ad8cc04888b537bb7b631715335a901b57ca
Adam Stallard,adamstallard.png,adamstallard,19,05-25,,0xdC0046B52e2E38AEe2271B6171ebb65cCD337518
Willy Ogorzaly,willyogo.png,willyogo,52,05-25,,0x05a1ff0a32bc24265bcb39499d0c5d9a6cb2011c
Adam Cohran,adamsc1-ddg.png,adamsc1-ddg,62,05-26,,0xf07A2439296e07Bc4320AF924E655a01fb69D89C
sangbejo,sangbejo.png,sangbejo,139,06-04,,0x45735683E432A5701959fc4D2e0FAB19dc7D1d58
decibels,decibels42.png,decibels42,45,05-25,,0xf4c7E772f24c10E3Ce60CE549059a021F60c911E
Peth,peth-yursick.png,peth-yursick,25,05-25,,0xb53b0255895c4f9e3a185e484e5b674bccfbc076
Sina Habibian,sinahab.png,sinahab,117,05-29,,0x03B79C0C1487a68AeabD9AA4ce779DaD77855F52
Jordan Lyall,jordanlyall.png,jordanlyall,20,05-25,,0xcf88fa6ee6d111b04be9b06ef6fad6bd6691b88c
Aaron,amsos.png,amsos,7,05-25,,0x58f123BD4261EA25955B362Be57D89F4B6E7110a
Typto,typto.png,typto,49,05-25,,0x9ac9c636404C8d46D9eb966d7179983Ba5a3941A
Angela,angelakte.png,angelakte,100,05-27,,0x3b067af83f540cb827825a6ee5480441a4237e77
juliana,itsencrypted.png,itsencrypted,58,05-25,,0x4f0a1940De411285ad0455a7F40C81B5E0BC8492
Petr Porobov,porobov.png,porobov,138,06-04,,0x45735683E432A5701959fc4D2e0FAB19dc7D1d58
Chris Martz,martz.png,martz,37,05-25,,0x224e69025A2f705C8f31EFB6694398f8Fd09ac5C
Armand Brunelle,sirlupsonwatson1.png,Sirlupinwatson1,123,05-29,FDD,0xEe0579b4C36fd52EC0A2B542fb801F136838B7f1
Bob Jiang,bobjiang.png,bobjiang,113,05-28,FDD,0x521aacb43d89e1b8ffd64d9ef76b0a1074dedaf8
